genome1	genome2	chr1	chr2	blkID	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	minBp2	maxBp2	minOrd2	maxOrd2	minGene2	maxGene2	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 177	155477449	158181868	24251	24301	3_2719	3_2769	38	290694706	294000651	11834	11903	1_13075	1_13144	38	+	290694706	294000651	11834	11903	1_13075	1_13144
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 181	158757779	167289030	24314	24482	3_2782	3_2950	95	294662434	302963408	11924	12088	1_13165	1_13329	95	+	294662434	302963408	11924	12088	1_13165	1_13329
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 183	171923891	175804516	24572	24626	3_3040	3_3094	18	307128831	310940127	12168	12232	1_13409	1_13473	18	+	307128831	310940127	12168	12232	1_13409	1_13473
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 102	67267289	68476714	25798	25821	3_8211	3_8234	11	60029421	61103566	7273	7299	1_8514	1_8540	11	+	60029421	61103566	7273	7299	1_8514	1_8540
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 106	69060994	72808616	25838	25924	3_8251	3_8337	40	61824627	65601523	7319	7406	1_8560	1_8647	40	+	61824627	65601523	7319	7406	1_8560	1_8647
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 108	73822368	76147669	25949	25983	3_8362	3_8396	17	66599233	69238489	7430	7472	1_8671	1_8713	17	+	66599233	69238489	7430	7472	1_8671	1_8713
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 109	76577334	76711750	25995	26002	3_8408	3_8415	5	69276385	69425938	7474	7478	1_8715	1_8719	5	+	69276385	69425938	7474	7478	1_8715	1_8719
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 110	77007234	80682675	26005	26056	3_8418	3_8469	19	70083144	71994497	7488	7523	1_8729	1_8764	19	+	70083144	71994497	7488	7523	1_8729	1_8764
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 118	146955992	147341539	27281	27295	3_9694	3_9708	7	79616399	80071982	7679	7686	1_8920	1_8927	7	+	79616399	80071982	7679	7686	1_8920	1_8927
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 120	140207714	142220000	27149	27182	3_9562	3_9595	15	85376824	86898629	7798	7821	1_9039	1_9062	15	+	85376824	86898629	7798	7821	1_9039	1_9062
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 125	121093062	122196214	26776	26803	3_9189	3_9216	14	106147363	107366491	8226	8257	1_9467	1_9498	14	+	106147363	107366491	8226	8257	1_9467	1_9498
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 127	117615740	118830382	26700	26734	3_9113	3_9147	16	109892369	110731187	8301	8329	1_9542	1_9570	16	+	109892369	110731187	8301	8329	1_9542	1_9570
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 129	111612778	112304078	26578	26589	3_8991	3_9002	8	115373504	116051664	8425	8437	1_9666	1_9678	8	+	115373504	116051664	8425	8437	1_9666	1_9678
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 131	108518043	109825019	26509	26535	3_8922	3_8948	18	117504755	119028890	8477	8498	1_9718	1_9739	18	+	117504755	119028890	8477	8498	1_9718	1_9739
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 134	84856951	85624470	26132	26157	3_8545	3_8570	15	139015336	140048665	8838	8872	1_10079	1_10113	15	+	139015336	140048665	8838	8872	1_10079	1_10113
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 138	82611119	83285860	26089	26101	3_8502	3_8514	9	141274041	141941390	8896	8908	1_10137	1_10149	9	+	141274041	141941390	8896	8908	1_10137	1_10149
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 84	1823116	14399909	24660	24853	3_7073	3_7266	73	1596952	12479562	6236	6424	1_7477	1_7665	73	+	1596952	12479562	6236	6424	1_7477	1_7665
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 86	15143298	15403256	24861	24874	3_7274	3_7287	9	13647157	13961228	6445	6458	1_7686	1_7699	9	+	13647157	13961228	6445	6458	1_7686	1_7699
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 87	18051846	26574992	24918	25065	3_7331	3_7478	41	15846999	20978814	6483	6592	1_7724	1_7833	41	+	15846999	20978814	6483	6592	1_7724	1_7833
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 89	27075199	31893570	25074	25153	3_7487	3_7566	26	21441058	26255469	6601	6690	1_7842	1_7931	26	+	21441058	26255469	6601	6690	1_7842	1_7931
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 92	34597261	38562420	25202	25279	3_7615	3_7692	30	29142029	32107251	6747	6798	1_7988	1_8039	30	+	29142029	32107251	6747	6798	1_7988	1_8039
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 94	42480423	43963857	25356	25380	3_7769	3_7793	10	35799179	37149260	6848	6868	1_8089	1_8109	10	+	35799179	37149260	6848	6868	1_8089	1_8109
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 95	44467954	47754090	25388	25435	3_7801	3_7848	28	37636267	41368027	6877	6942	1_8118	1_8183	28	+	37636267	41368027	6877	6942	1_8118	1_8183
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 97	49606878	51017002	25468	25488	3_7881	3_7901	14	43134451	44596719	6975	7000	1_8216	1_8241	14	+	43134451	44596719	6975	7000	1_8216	1_8241
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 99	51713243	64649555	25504	25751	3_7917	3_8164	113	45338581	57811327	7011	7237	1_8252	1_8478	113	+	45338581	57811327	7011	7237	1_8252	1_8478
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 141	142266606	144091834	30004	30047	3_12417	3_12460	17	144259541	146978276	8943	8995	1_10184	1_10236	17	+	144259541	146978276	8943	8995	1_10184	1_10236
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 144	132349949	133041518	29824	29837	3_12237	3_12250	5	155976723	156490334	9179	9193	1_10420	1_10434	5	+	155976723	156490334	9179	9193	1_10420	1_10434
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 146	129779570	131705990	29772	29808	3_12185	3_12221	18	157371724	158887507	9206	9248	1_10447	1_10489	18	+	157371724	158887507	9206	9248	1_10447	1_10489
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 149	125707155	126593092	29690	29706	3_12103	3_12119	11	162550234	163616112	9328	9347	1_10569	1_10588	11	+	162550234	163616112	9328	9347	1_10569	1_10588
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 151	118272287	118990548	29565	29583	3_11978	3_11996	13	169731337	170450560	9464	9484	1_10705	1_10725	13	+	169731337	170450560	9464	9484	1_10705	1_10725
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 153	111865328	113409210	29468	29492	3_11881	3_11905	10	174330091	175554049	9551	9576	1_10792	1_10817	10	+	174330091	175554049	9551	9576	1_10792	1_10817
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 156	81645501	82668136	28937	28957	3_11350	3_11370	14	202797262	203760643	10144	10162	1_11385	1_11403	14	+	202797262	203760643	10144	10162	1_11385	1_11403
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 159	206051903	206667768	10200	10210	1_11441	1_11451	8	68198748	68866823	22764	22775	3_1232	3_1243	8	-	68866823	68198748	22775	22764	3_1243	3_1232
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 164	272072636	272759227	11497	11509	1_12738	1_12750	6	135781774	136708244	23920	23937	3_2388	3_2405	6	-	136708244	135781774	23937	23920	3_2405	3_2388
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 172	281697565	282914224	11647	11661	1_12888	1_12902	10	146348923	147100149	24092	24103	3_2560	3_2571	10	-	147100149	146348923	24103	24092	3_2571	3_2560
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 174	284877947	285667217	11718	11730	1_12959	1_12971	9	148963075	149843057	24138	24150	3_2606	3_2618	9	-	149843057	148963075	24150	24138	3_2618	3_2606
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 176	290419860	290598495	11818	11833	1_13059	1_13074	9	155160559	155336555	24239	24250	3_2707	3_2718	9	-	155336555	155160559	24250	24239	3_2718	3_2707
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 182	303177432	307084066	12089	12167	1_13330	1_13408	41	167905494	171608679	24495	24567	3_2963	3_3035	41	-	171608679	167905494	24567	24495	3_3035	3_2963
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 104	61271093	61583915	7304	7315	1_8545	1_8556	7	68714685	69025162	25826	25836	3_8239	3_8249	7	-	69025162	68714685	25836	25826	3_8249	3_8239
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 107	65779352	66353369	7411	7427	1_8652	1_8668	12	72928038	73657917	25928	25945	3_8341	3_8358	12	-	73657917	72928038	25945	25928	3_8358	3_8341
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 112	73029923	74000728	7537	7550	1_8778	1_8791	6	154303563	154875160	27462	27482	3_9875	3_9895	6	-	154875160	154303563	27482	27462	3_9895	3_9875
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 113	74100776	75261645	7558	7577	1_8799	1_8818	10	150688074	152393877	27380	27419	3_9793	3_9832	10	-	152393877	150688074	27419	27380	3_9832	3_9793
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 116	76750791	77182332	7609	7624	1_8850	1_8865	7	149732350	150386500	27350	27367	3_9763	3_9780	7	-	150386500	149732350	27367	27350	3_9780	3_9763
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 117	77263020	79224070	7626	7674	1_8867	1_8915	18	147379391	149182822	27296	27339	3_9709	3_9752	18	-	149182822	147379391	27339	27296	3_9752	3_9709
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 119	80181842	84929056	7687	7792	1_8928	1_9033	42	142395459	146845729	27184	27280	3_9597	3_9693	42	-	146845729	142395459	27280	27184	3_9693	3_9597
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 121	87086030	93354818	7825	7954	1_9066	1_9195	64	135092794	140166347	27044	27147	3_9457	3_9560	64	-	140166347	135092794	27147	27044	3_9560	3_9457
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 122	93389679	94175813	7955	7968	1_9196	1_9209	7	133793940	134405496	27024	27033	3_9437	3_9446	7	-	134405496	133793940	27033	27024	3_9446	3_9437
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 123	94380075	94996505	7972	7990	1_9213	1_9231	6	134463810	134879442	27034	27041	3_9447	3_9454	6	-	134879442	134463810	27041	27034	3_9454	3_9447
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 124	95006727	105929325	7991	8219	1_9232	1_9460	104	122525004	133691608	26810	27023	3_9223	3_9436	104	-	133691608	122525004	27023	26810	3_9436	3_9223
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 126	107615810	109649830	8261	8295	1_9502	1_9536	16	119078060	120931084	26747	26775	3_9160	3_9188	16	-	120931084	119078060	26775	26747	3_9188	3_9160
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 128	110873797	115138066	8335	8422	1_9576	1_9663	40	112578623	117284332	26599	26692	3_9012	3_9105	40	-	117284332	112578623	26692	26599	3_9105	3_9012
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 130	116087714	117336074	8439	8475	1_9680	1_9716	24	109902770	111515347	26536	26576	3_8949	3_8989	24	-	111515347	109902770	26576	26536	3_8989	3_8949
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 132	119383859	124173003	8503	8576	1_9744	1_9817	48	102572827	108469400	26418	26508	3_8831	3_8921	48	-	108469400	102572827	26508	26418	3_8921	3_8831
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 133	124318833	138986403	8585	8836	1_9826	1_10077	126	85669259	102300367	26160	26416	3_8573	3_8829	126	-	102300367	85669259	26416	26160	3_8829	3_8573
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 135	140130224	140926234	8873	8887	1_10114	1_10128	7	83816056	84603241	26111	26129	3_8524	3_8542	7	-	84603241	83816056	26129	26111	3_8542	3_8524
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 140	142448489	143710454	8916	8939	1_10157	1_10180	17	80847414	82195454	26060	26083	3_8473	3_8496	17	-	82195454	80847414	26083	26060	3_8496	3_8473
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 85	12828600	13433610	6427	6443	1_7668	1_7684	5	15647106	17571879	24878	24912	3_7291	3_7325	5	-	17571879	15647106	24912	24878	3_7325	3_7291
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 90	26448712	27521191	6692	6722	1_7933	1_7963	13	32375875	33206772	25162	25178	3_7575	3_7591	13	-	33206772	32375875	25178	25162	3_7591	3_7575
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 91	28065114	28662584	6729	6739	1_7970	1_7980	8	33580112	33988846	25180	25194	3_7593	3_7607	8	-	33988846	33580112	25194	25180	3_7607	3_7593
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 93	33567096	35404536	6809	6844	1_8050	1_8085	15	38879920	41138702	25282	25335	3_7695	3_7748	15	-	41138702	38879920	25335	25282	3_7748	3_7695
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 96	41473131	42938419	6944	6974	1_8185	1_8215	17	48017652	49410716	25438	25463	3_7851	3_7876	17	-	49410716	48017652	25463	25438	3_7876	3_7851
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 142	147801486	148436731	9008	9029	1_10249	1_10270	8	144367974	145419230	30053	30067	3_12466	3_12480	8	-	145419230	144367974	30067	30053	3_12480	3_12466
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 143	148749405	155549380	9031	9176	1_10272	1_10417	66	134229100	141918179	29860	30001	3_12273	3_12414	66	-	141918179	134229100	30001	29860	3_12414	3_12273
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 145	156593537	157286082	9196	9205	1_10437	1_10446	6	133165172	133854564	29840	29849	3_12253	3_12262	6	-	133854564	133165172	29849	29840	3_12262	3_12253
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 147	159011381	161842796	9253	9315	1_10494	1_10556	22	126765974	129704496	29709	29769	3_12122	3_12182	22	-	129704496	126765974	29769	29709	3_12182	3_12122
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 148	162230026	162527298	9318	9326	1_10559	1_10567	7	125318670	125631869	29682	29689	3_12095	3_12102	7	-	125631869	125318670	29689	29682	3_12102	3_12095
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 150	163781480	169654026	9349	9463	1_10590	1_10704	48	119291919	125108253	29588	29679	3_12001	3_12092	48	-	125108253	119291919	29679	29588	3_12092	3_12001
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 152	170638683	174054171	9486	9544	1_10727	1_10785	33	114438175	118139491	29514	29563	3_11927	3_11976	33	-	118139491	114438175	29563	29514	3_11976	3_11927
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 154	175694419	176026026	9578	9586	1_10819	1_10827	7	113698598	114002033	29493	29501	3_11906	3_11914	7	-	114002033	113698598	29501	29493	3_11914	3_11906
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 155	176241475	202488426	9590	10135	1_10831	1_11376	250	83844768	111746254	28975	29463	3_11388	3_11876	250	-	111746254	83844768	29463	28975	3_11876	3_11388
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 157	203816652	204142811	10165	10172	1_11406	1_11413	7	82727990	83133580	28959	28965	3_11372	3_11378	7	-	83133580	82727990	28965	28959	3_11378	3_11372
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 158	204668708	205688135	10179	10193	1_11420	1_11434	8	80196883	81082233	28899	28933	3_11312	3_11346	8	-	81082233	80196883	28933	28899	3_11346	3_11312
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 159	68198748	68866823	22764	22775	3_1232	3_1243	8	206051903	206667768	10200	10210	1_11441	1_11451	8	-	206667768	206051903	10210	10200	1_11451	1_11441
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 164	135781774	136708244	23920	23937	3_2388	3_2405	6	272072636	272759227	11497	11509	1_12738	1_12750	6	-	272759227	272072636	11509	11497	1_12750	1_12738
